The woman was admitted to the hospital on Saturday after complaining of severe joint pains.	severe joint pains	complaining of
Kyoto.-43	to-42	-pobj
Mr Blair told the ABC that greenhouse gases were an area where  there was an obvious disagreement with the US.	greenhouse gases	disagreement with
gases-8	disagreement-18	-nsubj-rcmod
"The more I read about climate change, the more concerned I  become about this issue."	this issue	The more I read about climate change, the more concerned I  become about
issue."-16	about-14	-pobj
He was not sure the Kyoto Protocol actually went far enough.	the Kyoto Protocol actually went far enough	not sure
went-9	sure-4	-ccomp
The British Prime Minister, Tony Blair, disagreed yesterday with  Australia's decision to sign a climate change deal with the  United States.	Australia's decision to sign a climate change deal with the  United States	disagreed
sign-14	disagreed-7	-vmod
Blair not happy with new green deal	new green deal	not happy with
deal-7	with-4	-pobj
Critics say that on the one hand Australia is saying it does not  want to dump Kyoto, yet on the other it is cosying up to the US  - which does want to dump Kyoto.	dump Kyoto	does not  want to
dump-17	want-15	-xcomp
The Federal Government denied that the agreement, signed this  week, was a signal it was dumping the Kyoto Protocol on  greenhouse gases.	the agreement, signed this  week	denied that the agreement, signed this  week, was a signal it was dumping the Kyoto Protocol on  greenhouse gases
signed-8	denied-4	-ccomp
"I am happy because I finally got to vote," says a jubilant  Colin Chipepera, after waiting for more than 12 hours in one  Harare voting line.	finally got to vote	jubilant
vote,"-9	jubilant-12	-nsubj-nsubj-ccomp-dep-dobj-nn
"I am happy because I finally got to vote," says a jubilant  Colin Chipepera, after waiting for more than 12 hours in one  Harare voting line.	finally got to vote	am happy
got-7	happy-3	-ccomp
Mugabe is trying to move the goal posts to  disenfranchise people, these people he thinks will vote against  him," said Tsvangirai, visiting one polling station where  thousands waited angrily to cast their votes, waving their hands  in the open-handed signal of the MDC.	him	will vote against
him,"-21	against-19	-pobj
Mugabe is trying to move the goal posts to  disenfranchise people, these people he thinks will vote against  him," said Tsvangirai, visiting one polling station where  thousands waited angrily to cast their votes, waving their hands  in the open-handed signal of the MDC.	the MDC	waving their hands  in the open-handed signal of the MDC
MDC.-47	of-45	-pobj
An increasing number of local election monitors and  international observers say the vote rigging has been so  thorough that hopes for a free election are dead.	a free election	hopes for
election-26	for-23	-pobj
The MDC says that 52 percent of its rural polling agents were  chased away, abducted, or refused accreditation by government  officials, leaving the voting process open to widespread abuse.	accreditation	refused
accreditation-19	refused-18	-dobj
But in her heart, the 38-year-old widow supports  the opposition and keeps a Movement for Democratic Change (MDC)  membership card hidden in a cooking pot.	the opposition	supports
opposition-11	supports-8	-dobj-xcomp
The government  slashed the number of polling stations in urban areas where the  MDC is favored, while boosting the number in rural ruling-party  strongholds.	MDC	is favored
MDC-16	favored,-18	-nsubj
Mr. Murphy points to  the lack of independent voter education, the lack of any  independent radio stations, and the ban on holding opposition  rallies in many districts as just a few examples.	holding opposition  rallies	ban on
rallies-27	on-23	-pobj
"We just want someone who can give us food, hospitals, school  fees.	someone who can give us food, hospitals, school  fees	just want
someone-4	want-3	-dobj
But he wanted to sound his voice.	sound his voice	wanted to
sound-5	wanted-3	-xcomp
There are many Marthas here, people who marched to ZANU-PF  anthems and cheered President Robert Mugabe at rallies, while  secretly planning to vote for Mr. Tsvangirai.	President Robert Mugabe	cheered
Mugabe-17	cheered-14	-dobj
"I wanted to go home, but I have to vote," she says.	to go home	wanted
go-4	wanted-2	-xcomp
A moment later she had decided, and the polling agent,  smiling, put an "X" mark on the ballot in the space marked  "Robert Mugabe, ZANU-PF."	put an "X" mark on the ballot in the space marked  "Robert Mugabe, ZANU-PF	smiling
put-13	smiling,-12	-nsubj
Despite everything, there is still hope in Zimbabwe that this  election may bring change.	this  election may bring change	hope
bring-14	hope-6	-ccomp-nsubj
Ministry Criticizes 'Odious' U.S. Report	U.S. Report	Criticizes 'Odious'
Report-5	Criticizes-2	-nn
However, U.S. officials also note that some of the rebels do not  have international ties, and they have criticized Russian  military and police abuse of civilians -- although the criticism  was toned down greatly after Russia became an enthusiastic  member of the anti-terrorist coalition, sharing intelligence  information, opening its airspace to humanitarian flights and  giving a green light to U.S. military deployment in Central  Asia.	the anti-terrorist coalition	became an enthusiastic  member
the-46	member-44	-det-pobj-prep
However, U.S. officials also note that some of the rebels do not  have international ties, and they have criticized Russian  military and police abuse of civilians -- although the criticism  was toned down greatly after Russia became an enthusiastic  member of the anti-terrorist coalition, sharing intelligence  information, opening its airspace to humanitarian flights and  giving a green light to U.S. military deployment in Central  Asia.	Russian  military and police abuse of civilians	criticism  was toned down greatly
military-23	toned-35	-dobj-advcl
However, U.S. officials also note that some of the rebels do not  have international ties, and they have criticized Russian  military and police abuse of civilians -- although the criticism  was toned down greatly after Russia became an enthusiastic  member of the anti-terrorist coalition, sharing intelligence  information, opening its airspace to humanitarian flights and  giving a green light to U.S. military deployment in Central  Asia.	Russian  military and police abuse of civilians	have criticized
military-23	criticized-20	-dobj
However, U.S. officials also note that some of the rebels do not  have international ties, and they have criticized Russian  military and police abuse of civilians -- although the criticism  was toned down greatly after Russia became an enthusiastic  member of the anti-terrorist coalition, sharing intelligence  information, opening its airspace to humanitarian flights and  giving a green light to U.S. military deployment in Central  Asia.	U.S. military deployment in Central  Asia	giving a green light
deployment-68	giving-61	-pobj-prep
Russian  security forces in Chechnya have "demonstrated little respect  for basic human rights and there were credible reports of  serious violations, including numerous reports of extrajudicial  killings by both the government and Chechen fighters," the  report said.	basic human rights	have "demonstrated little respect  for
rights-15	for-12	-pobj
The Foreign Ministry said that the State Department  pronouncement on Chechnya reflected the efforts of "certain  circles" in the United States that object to the new  U.S.-Russian partnership against international terrorism.	the new  U.S.-Russian partnership against international terrorism	object
partnership-31	object-25	-pobj-prep
U.S. officials have partially endorsed  that view, pointing to rebel leaders such as Shamil Basayev and  the Jordanian-born Omar Ibn al Khattab, who are believed to have  financial and other ties to Osama bin Laden's al-Qaida terrorist  network.	that view	have partially endorsed
view,-8	endorsed-5	-dobj-ccomp
The Foreign Ministry said Thursday that it was "surprised, to  put it mildly" by the U.S. State Department's criticism of  Russia's human rights record and objected in particular to the  "odious" section on Chechnya.	the U.S. State Department's criticism of  Russia's human rights record	was "surprised, to  put it mildly"
criticism-20	"surprised,-9	-pobj-prep
The Foreign Ministry said Thursday that it was "surprised, to  put it mildly" by the U.S. State Department's criticism of  Russia's human rights record and objected in particular to the  "odious" section on Chechnya.	section on Chechnya	objected in particular to the  "odious"
section-35	to-31	-pobj
The Foreign Ministry said Thursday that it was "surprised, to  put it mildly" by the U.S. State Department's criticism of  Russia's human rights record and objected in particular to the  "odious" section on Chechnya.	Russia's human rights record	criticism
record-26	criticism-20	-pobj-prep
About the only  foreign leader who has supported the American detainee camp,  ironically, is Fidel Castro, who is either angling to end the  embargo or inching ever closer to dementia.	the American detainee camp	has supported
detainee-12	supported-9	-dobj
On  the ferry crossing over to the windward side where the camp is  located, I sit next to a now mellow Lt. Col. Costello, who has  decided to patch things up with the reporter he snapped at, and  who, after getting the sign-off from Southern Command, has  cleared us to stay through Rumsfeld's visit.	the reporter	snapped at
reporter-37	snapped-39	-rcmod
He gives the sort of hooah  performance that has endeared him to both the troops and the  press.	the sort of hooah  performance	endeared
performance-8	endeared-11	-rcmod
It's the  detainees' cultural preference not to use any.	not to use any	cultural preference
use-9	preference-6	-nsubj
Costello, like many  Gitmo types, is baffled at the uproar over the prisoners'  treatment.	the prisoners'  treatment	uproar over
treatment.-16	over-12	-pobj
It's hard to imagine anyone who has actually read the  Geneva Convention wanting to confer POW status on alleged al  Qaeda members.	confer POW status on alleged al  Qaeda members	wanting to
confer-16	wanting-14	-xcomp
Restricted to an area about 150 yards away from the open-air  cellblocks, we observe the camp from a slight elevation that  CNN's John Zarrella calls "Heartbreak Ridge," so named "because  if you're a journalist, it breaks your heart that you can't get  closer."	you can't get  closer	breaks your heart
can't-44	breaks-39	-ccomp
Sitting on a bus on the tarmac, waiting for the secretary to  emerge from his plane, we pass the time as journalists do,  discussing the AP-style spelling of "bin Laden," speculating  whether the prisoners will get an Internet cafe (one of them has  asked for video games), and making fun of the fresh-meat  Pentagon press corps, who are overdressed in heavy wools instead  of our much cooler island linens.	the fresh-meat  Pentagon press corps	making fun of
corps,-61	of-55	-pobj
In the richest irony of  the war on terrorism, the Department of Defense, which normally  goes out of its way not to make news, caused an international  outcry by releasing still shots of detainees being brought to  Camp X-Ray.	the Department of Defense	outcry
Department-12	outcry-31	-dobj-pcomp-prep-pcomp-prep-pobj-prep-dobj
Though these seemed perfectly reasonable precautions to  take when transporting by C-141 members of an organization  already responsible for one prison uprising (Mazar-i-Sharif,  which resulted in a CIA operative's death) and several suicide  plane crashes, human rights groups and international media, led  by a chorus of Euro-whiners, immediately lapsed into hysterics.	these	immediately lapsed into hysterics
these-2	into-55	-nsubj-prep
Still, the overseers of the prison are  concerned that detainees aren't getting enough pita bread with  their meals, and they're planning to make the food spicier, just  the way the prisoners like it back home.	the food spicier	like
food-27	like-35	-dobj-vmod-pcomp-prep-xcomp-ccomp-aux-nsubj-prep
Still, the overseers of the prison are  concerned that detainees aren't getting enough pita bread with  their meals, and they're planning to make the food spicier, just  the way the prisoners like it back home.	detainees aren't getting enough pita bread with  their meals	are  concerned
aren't-12	concerned-9	-ccomp
WHILE public affairs officers these days are going to great  lengths to talk about how docile the prisoners are, detainees  have been reported biting a guard, spitting, and threatening to  kill Americans.	kill Americans	threatening to
kill-34	threatening-31	-xcomp
WHILE public affairs officers these days are going to great  lengths to talk about how docile the prisoners are, detainees  have been reported biting a guard, spitting, and threatening to  kill Americans.	the prisoners	are going to great  lengths to talk about how docile the prisoners are
the-18	are,-20	-det
Many organizations  who haven't been to Gitmo, like Human Rights Watch, have been  extremely critical of the prisoners' treatment, while the ICRC  has aired no complaints.	the prisoners' treatment	have been  extremely critical of
treatment,-21	of-18	-pobj
ON SUNDAY, Rumsfeld visits, and we hope for illumination.	illumination	hope for
illumination.-9	for-8	-pobj
But as a gaggle of public affairs officers enter, they lay down  two immutable laws: There will be no access to detainees (the  Geneva Convention forbids making them a "public curiosity").	making them a "public curiosity	forbids
making-29	forbids-28	-xcomp
But after flying  thousands of miles, then pub-crawling through the streets of Old  San Juan last night, we are here because our military escorts  insist we show up at this time, though the flight actually  leaves four hours later.	we show up at this time	insist
show-30	insist-28	-ccomp
(He declared January  "Americans' Month" and invited Jimmy Carter for a visit.)	Jimmy Carter for a visit	invited
Carter-10	invited-8	-dobj
He left after failing to find gold,  threatening to cut off the tongues of his crew if they didn't  agree to pretend they'd reached Asia.	cut off the tongues of his crew if they didn't  agree to pretend they'd reached Asia	threatening to
cut-11	threatening-9	-xcomp
Fearing an abbreviated schedule, I commence valuable  newsgathering.	an abbreviated schedule	Fearing
schedule,-4	Fearing-1	-dobj
Here, we  are given our media "indoctrination" packages, never an  encouraging word if you aspire to reportorial autonomy.	reportorial autonomy	aspire to
autonomy.-20	to-18	-pobj
Sillier still were protestations from such humanitarians as  Saddam Hussein and the government of Malaysia (Prime Minister  Mahathir Mohamad has made some of the loudest noise, though  Amnesty International dings him for arresting the speechwriter  of a political rival, who was then blindfolded, stripped naked,  punched, verbally abused, and forced to simulate homosexual  acts--none of which is alleged at Camp X-Ray).	him	dings him for arresting the speechwriter  of a political rival, who was then blindfolded, stripped naked,  punched, verbally abused, and forced to simulate homosexual  acts
him-34	dings-33	-dobj
It is there that 158 al Qaeda/Taliban prisoners are  being detained because, depending on who you ask, it is an  ideal, sunny clime, it's not subject to the get-out-of-jail  escape hatches of U.S. federal law, or because, as one senior  Pentagon official says, "The lawyers didn't want to go on  14-hour flights to some guano rock in the Pacific."	go on  14-hour flights to some guano rock in the Pacific	didn't want to go on  14-hour flights to some guano rock in the Pacific
go-53	didn't-50	-nsubj
Many of us had secretly harbored the fantasy that we  could talk our overseers into letting us go right up to the  prisoners' cells, the terrorist equivalent of a field trip to  the ASPCA. 	we  could talk our overseers into letting us go right up to the  prisoners' cells	had secretly harbored the fantasy
talk-13	harbored-6	-ccomp
Likewise,  when thousands of Cuban rafters were detained here for months in  the mid-'90s, many grew so unhappy with Gitmo's ghostly  desolation that they'd do anything to leave, including inject  diesel fuel into their veins, drive tent stakes into their  limbs, even swim back to Castro's Cuba.	Gitmo	grew so unhappy with Gitmo's ghostly  desolation that they'd do anything to leave
Gitmo's-22	desolation-25	-nn
We see them offering them cookies, hugging them  like they're best buddies.	them	hugging
them-3	hugging-7	-nsubj-xcomp
"I'm up to my ears in Vieques," says Navy Lt. Corey  Barker, of the nearby bombing range/public relations fiasco that  has been protested by everyone from Al Sharpton to obscure  Kennedys.	the nearby bombing range/public relations fiasco	has been protested
fiasco-20	protested-25	-dep
Those who think the prisoners are  getting coddled (Rep. John Mica, a Florida Republican, visited  the camp and said it's "too good for the bastards") will be  happy to know that the shampoo is not jojoba-enriched.	the shampoo is not jojoba-enriched	will be  happy to know
jojoba-enriched.-39	know-33	-ccomp
It also rankles Castro,  who has wanted to throw us off the island for four decades, but  can't because of a pre-Revolution lease agreement.	It	rankles
It-1	rankles-3	-nsubj
With all the global bellyaching about the detainees' right to  humane treatment, it's hard to imagine them getting better  treatment than they're already receiving.	the detainees' right to  humane treatment	bellyaching about
the-7	about-6	-det-pobj
Tokyo irked by US stance on Kyoto	US stance on Kyoto	irked by
on-6	irked-2	-prep
While there are no protesters in the streets, there is an air of  indignation here over Washington's "do-it-our-way" decision on  something that effects the whole globe.	Washington's "do-it-our-way" decision on  something that effects the whole globe	an air of  indignation
that-24	air-12	-ref
"It is absolutely inadmissible for the US, which is the greatest  gas-emitting country, to once again turn its back and present  something that is against Kyoto Protocol and the framework  convention on climate change," says Mie Asaoka, president of the  Kiko Network, a Tokyo environmental-umbrella organization  representing about 150 Japanese groups.	Kyoto Protocol	once again turn its back
Protocol-29	back-20	-pobj-prep-rcmod
Not everyone in Japan is upset with Bush's alternative.	Bush's alternative	is upset with
alternative.-9	with-7	-pobj
They  fear that, because the US is forging its own way, smaller  nations that are expected to ratify the Kyoto Protocol could  start backing out.	smaller  nations that are expected to ratify the Kyoto Protocol could  start backing out	fear
nations-15	fear-3	-dobj-advcl-dobj-nn
But now, with President George Bush saying the US will not  ratify the protocol - which was shaped in part to fit  Washington's concerns five years ago - the accord's ultimate  effectiveness is in doubt, and many US allies are irritated.	the US will not  ratify the protocol	are irritated
ratify-13	irritated.-44	-conj
During Mr. Bush's visit here last month, Mr. Koizumi gently  balked at the president's proposed alternative to the Kyoto  agreement, saying that Japan would "like to see further efforts"  on the part of the US.	the president's proposed alternative to the Kyoto  agreement	gently  balked at
alternative-17	balked-12	-nsubj
During Mr. Bush's visit here last month, Mr. Koizumi gently  balked at the president's proposed alternative to the Kyoto  agreement, saying that Japan would "like to see further efforts"  on the part of the US.	see further efforts"  on the part of the US	would "like to
see-29	"like-27	-xcomp
For Japan, a nation of nature-lovers, the shaping of the accord  on their soil was a source of pride - and proof that they were  still relevant players on the world stage.	the shaping of the accord  on their soil	pride
shaping-8	pride-20	-dobj-pcomp-prep-dobj-pcomp-prep-nsubj-prep-pobj
From pulling out of Kyoto - which is in the process of  being ratified by the European Union - to labeling Iran, Iraq,  and North Korea an "axis of evil" and prime targets in the next  phase of the war, America's allies are seeing in the US a  growing tendency to act first and consult later.	Iran, Iraq,  and North Korea	an "axis of evil" and prime targets in the next  phase of the war
-25	"axis-30	-nsubj
And his economic  promises to the poor are in shreds, while his diplomatic  flirtation with leftist world dictators only hints at his  inclinations to gain more power.	gain more power	inclinations to
gain-28	to-27	-aux
The Bush administration all but welcomed the coup, tarnishing  the US role as a champion of democracy.	the coup	all but welcomed
coup,-8	welcomed-6	-dobj
But then international pressure and renewed domestic  support for Chavez forced the generals to let him take office  again.	Chavez	support for
Chavez-11	for-10	-pobj
The company's  executives revolted, threatening a cutoff of oil.	a cutoff of oil	threatening
cutoff-8	threatening-6	-dobj
That was a  catalyst for pent-up opposition to Chavez.	Chavez	pent-up opposition to
Chavez.-10	to-9	-pobj
Although he refused to make a final judgement on the conduct of  the weekend presidential poll, he told parliament that if Mugabe  was declared the winner of a rigged vote, it would have  "enormous implications" for London's ties with Harare.	make a final judgement on the conduct of  the weekend presidential poll	refused to
make-5	refused-3	-xcomp
"This is a terrible period, not only for Zimbabwe but for those  who hold the course of democracy dear in Africa and elsewhere."	democracy	hold the course of democracy dear
democracy-19	of-18	-pobj
Counting in the election, in which Mugabe is battling for his  political future against opposition candidate Morgan Tsvangirai  after 22 years in power, began Tuesday amid complaints in  Zimbabwe over the conduct of the vote.	the conduct of the vote	complaints in  Zimbabwe over
conduct-35	over-33	-pobj
"If it  becomes clear, and the evidence is already pretty strong, that  President Mugabe, in the event he is declared the winner, has  stolen the election, then that has enormous implications for the  nature of our relationship with Zimbabwe," he warned.	the evidence	is already pretty strong
evidence-8	strong,-12	-nsubj
"If it  becomes clear, and the evidence is already pretty strong, that  President Mugabe, in the event he is declared the winner, has  stolen the election, then that has enormous implications for the  nature of our relationship with Zimbabwe," he warned.	the  nature of our relationship with Zimbabwe	If it  becomes clear, and the evidence is already pretty strong, that  President Mugabe, in the event he is declared the winner, has  stolen the election, then that has enormous implications for
nature-38	for-35	-pobj
Moments later he announced that he had taken five national  television channels off the air for "telling lies about the  government".	the  government	telling lies about
government".-23	about-20	-pobj
A  succession of officers filled the TV screens to say they  supported the people and that the killings were "not tolerable".	the people	supported
people-16	supported-14	-dobj
At the time, Mr Chavez was addressing the nation to assure them  his government respected people's right to demonstrate and  freedom of the press.	his government	respected people's right to demonstrate and  freedom of the press
his-14	people's-17	-poss
At the time, Mr Chavez was addressing the nation to assure them  his government respected people's right to demonstrate and  freedom of the press.	people's right to demonstrate and  freedom of the press	respected
people's-17	respected-16	-amod
Managers were striking because Mr Chavez had filled the  company's board of directors with his supporters.	Mr Chavez had filled the  company's board of directors with his supporters	were striking
filled-8	striking-3	-advcl
But there's  also a feeling of uncertainty about how the country's obvious  problems are going to be solved," said Ms Ledesma.	how the country's obvious  problems are going to be solved	feeling of uncertainty about
going-17	about-9	-pcomp
O'Keefe's appointment "is a clear message from the  administration: NASA has to clean up its act before we can talk  about the neat stuff we'd like to see NASA do," says Patricia  Dasch of the National Space Society.	the neat stuff we'd like to see NASA do	like
we'd-27	like-28	-prep
But the agency's credibility has come under fire in manned  spaceflight - especially the International Space Station, now  completing its first year of full-time crews.	the agency's credibility	has come under fire in manned  spaceflight
credibility-4	come-6	-nsubj
Future US modules were red-penciled.	Future US modules	were red-penciled
modules-3	red-penciled.-5	-nsubj
Chinese Foreign Ministry spokesman Kong Quan said Friday that  China disapproves of the use of such words as the "axis of evil"  in international relations.	the use of such words as the "axis of evil"  in international relations	disapproves of
as-19	disapproves-12	-prep
China has noticed that U.S. public opinion and general public do  not agree to the wording of "axis of evil," he said, pointing  out that the consequences are bound to be serious if the logic  of the wording is followed.	the wording of "axis of evil	do  not agree to
wording-17	to-15	-pobj
"We disapprove of the use of such words in international  relations," said Kong, who also made the same comment when  answering related questions earlier.	the use of such words in international  relations	disapprove of
use-5	of-3	-pobj
China Disapproves Use of 'Axis of Evil' in International Relations	Use of 'Axis of Evil' in International Relations	Disapproves
Use-3	Disapproves-2	-nn
Many political analysts fear a return to street violence when  the devaluation measure passes and companies seek to avoid  losses by raising prices for food and medicine.	a return to street violence when  the devaluation measure passes and companies seek to avoid  losses by raising prices for food and medicine	fear
return-6	fear-4	-dobj
Many political analysts fear a return to street violence when  the devaluation measure passes and companies seek to avoid  losses by raising prices for food and medicine.	avoid  losses	seek to
avoid-20	seek-18	-xcomp
The companies are worried by Duhalde's proposal to devalue the  peso and scrap a policy known as convertibility that kept the  peso's worth the same as a U.S. dollar.	Duhalde's proposal to devalue the  peso and scrap a policy known as convertibility that kept the  peso's worth the same as a U.S. dollar	are worried by
devalue-9	worried-4	-xcomp
Duhalde does not agree and has  resisted the lobbying, his aides said.	the lobbying	has  resisted
lobbying,-10	resisted-8	-dobj
Amadeo said the  president told him, ``I have never had so many calls in my life  from all the groups saying they don't want us to touch them.''	us to touch them	don't want
us-27	want-26	-dobj
His package of legislation seeks --  at the expense of foreign and domestic companies -- to ease the  pain on an increasingly angry middle class, the largest in South  America.	to ease the  pain on an increasingly angry middle class	seeks
ease-18	seeks-5	-xcomp
They fear that if Argentina  can break promises made in contracts, other nations may try to  do the same in less dire times.	if Argentina  can break promises made in contracts, other nations may try to  do the same in less dire times	fear
try-16	fear-2	-ccomp
They want the dollar value of debt to remain constant, no matter  what the devaluation of the peso.	the dollar value of debt to remain constant	want
value-5	want-2	-dobj
U.S. and other foreign banks, telecommunications, transport and  energy companies are expected collectively to lose billions of  dollars if lawmakers approve President Eduardo Duhalde's  controversial economic package.	President Eduardo Duhalde's  controversial economic package	approve
-27	approve-23	-ccomp
Foreign companies that took over former state transportation,  phone and energy companies want -- but appear unlikely to get --  some form of indexing so they can raise their prices to  compensate for what is expected to be a widening gap between the  peso and dollar.	some form of indexing so they can raise their prices to  compensate for what is expected to be a widening gap between the  peso and dollar	want
raise-30	want-14	-dep-conj
NASA hopes the covers will shield the motors against the  temperature extremes of space and eliminate power spikes and  stalls.	the covers will shield the motors against the  temperature extremes of space and eliminate power spikes and  stalls	hopes
shield-6	hopes-2	-ccomp
But the 57 lawmakers from the opposition Movement for Democratic  Change boycotted it, as did representatives from the United  States, European Union countries, New Zealand and Canada.	it	boycotted
the-6	boycotted-13	-det-prep-pobj-nn
SubHead:   Lawmakers boycott event	event	boycott
event-6	boycott-5	-nn
He told an audience  assembled in the colonial-style State House mansion that his  victory was a triumph against the West and whites who he said  had aligned against him and his governing party, the Zimbabwe  African National Union-Patriotic Front.	him and his governing party	had aligned against
and-33	aligned-30	-cc
Investors and Western diplomats have said they might interpret  Mbeki's support for Mugabe or the elections as a sign that  Africa is not intent on revitalizing its economies through good  government and expanded international trade.	Mugabe or the elections	support for
Mugabe-14	for-13	-pobj
All  said they were protesting an election they said had been tainted  by months of political violence and intimidation, last-minute  changes to electoral laws, and the disenfranchisement of tens of  thousands of voters in Harare -- an opposition stronghold -- who  failed to vote because the government reduced the number of  polling stations.	an election they said had been tainted  by months of political violence and intimidation, last-minute  changes to electoral laws, and the disenfranchisement of tens of  thousands of voters in Harare	were protesting
election-8	protesting-6	-dobj
HARARE, Zimbabwe - President Robert Mugabe was sworn in Sunday  for his fifth term in office following a bitterly fought  election that the opposition and many Western governments  denounced as rigged.	election	denounced as rigged
election-23	denounced-32	-dep
As the leader of the region's most robust economy and most  respected democracy, many Western leaders are looking to Mbeki  to denounce the results and provide some reassurance that the  continent is committed to democratic principles and property  rights.	the results	denounce
results-26	denounce-24	-dobj
Ros-Lehtinen suggested Thursday that the move might raise the  hackles of Cuba's government, but Rumsfeld dismissed those  concerns.	the move might raise the  hackles of Cuba's government	concerns
government,-14	concerns.-20	-vmod-dobj
U.S. Rep. Ileana Ros-Lehtinen, R-Miami, said she supported the  idea, in part, because it would underscore the naval base's  strategic importance at a time when some members of Congress  have urged returning the territory to Cuba.	returning the territory to Cuba	have urged
returning-35	urged-34	-xcomp
U.S. Rep. Ileana Ros-Lehtinen, R-Miami, said she supported the  idea, in part, because it would underscore the naval base's  strategic importance at a time when some members of Congress  have urged returning the territory to Cuba.	the  idea	supported
idea,-11	supported-8	-dobj
Planners scrambled to deploy healthcare workers and Muslim  clergymen before the White House abandoned that idea.	that idea	abandoned
idea.-17	abandoned-15	-dobj
The U.S. naval base at Guantamano Bay, Cuba, once a detention  center for thousands of Cubans and Haitians seeking freedom in  America, may soon become a prison for men with a radically  different view of the country.	freedom in  America	seeking
freedom-21	seeking-20	-dobj
In this instance, military sources said, the number of prisoners  would be much smaller -- perhaps in the dozens -- and the  logistics would focus more on security at the 45-square-mile  base and less on the comfort of prisoners who are considered  either members of a terrorist network or supporters of  terrorists.	prisoners	are considered  either members of a terrorist network or supporters of  terrorists
prisoners-10	considered-45	-nn-pobj-prep-nsubj-conj-prep-pobj-prep-pobj-rcmod
Then, the concern was how to make comfortable traumatized  victims of civil war uprooted from a violent, cold climate.	how to make comfortable traumatized  victims of civil war uprooted from a violent, cold climate	the concern was
uprooted-15	was-4	-ccomp
Their endorsement of yet  another type of diplomatic isolation of Zimbabwe shows  solidarity with the West.	yet  another type of diplomatic isolation of Zimbabwe	endorsement of
-5	of-3	-pcomp
But now that he's cornered by the international community with  many types of isolation - including opprobrium from two of his  African peers - he has lashed out by charging opposition leader  Morgan Tsvangirai with trying to kill him.	he	opprobrium from
he's-4	opprobrium-18	-nsubj-prep-pobj-prep-pobj-prep-pobj
Africa's two richest and most powerful nations, South Africa and  Nigeria, decided to punish Zimbabwe on Tuesday for a flawed  presidential vote.	presidential vote	decided to punish Zimbabwe on Tuesday for a flawed
vote.-24	for-19	-pobj
Africa's two richest and most powerful nations, South Africa and  Nigeria, decided to punish Zimbabwe on Tuesday for a flawed  presidential vote.	Zimbabwe	decided to punish
Zimbabwe-16	punish-15	-dobj
Mr. Mbeki may still hope that, despite his joining the West in  criticizing Zimbabwean leader Robert Mugabe, he can work with  his troubled neighbor to prevent more violence, keep the economy  from collapsing, and find some political compromise.	Zimbabwean leader Robert Mugabe	joining the West in  criticizing
Mugabe,-18	in-12	-pobj
Mr. Mbeki may still hope that, despite his joining the West in  criticizing Zimbabwean leader Robert Mugabe, he can work with  his troubled neighbor to prevent more violence, keep the economy  from collapsing, and find some political compromise.	Zimbabwean leader Robert Mugabe	criticizing
Mugabe,-18	criticizing-14	-nn
Mr. Mbeki may still hope that, despite his joining the West in  criticizing Zimbabwean leader Robert Mugabe, he can work with  his troubled neighbor to prevent more violence, keep the economy  from collapsing, and find some political compromise.	despite his joining the West in  criticizing Zimbabwean leader Robert Mugabe, he can work with  his troubled neighbor to prevent more violence, keep the economy  from collapsing, and find some political compromise	hope that
despite-7	hope-5	-prep
A strike this week by the country's trade unions  protesting the government's tactics reflects widespread disgust  with Mugabe.	the government's tactics	protesting
tactics-14	protesting-11	-nsubj-ccomp
A strike this week by the country's trade unions  protesting the government's tactics reflects widespread disgust  with Mugabe.	Mugabe	widespread disgust  with
Mugabe.-20	with-19	-pobj
Last week a delegation from the  International Committee of the Red Cross arrived to inspect the  camp and offer private recommendations on its operation.	its operation	offer private recommendations on
operation.-26	on-24	-pobj
The  Pentagon has resisted calling the detainees prisoners of war,  preferring the terms unlawful combatants or battlefield  detainees.	the terms unlawful combatants or battlefield  detainees	preferring
terms-15	preferring-13	-iobj
The  Pentagon has resisted calling the detainees prisoners of war,  preferring the terms unlawful combatants or battlefield  detainees.	calling the detainees prisoners of war	has resisted
calling-6	resisted-5	-xcomp
The Daily Telegraph, a paper  usually so conservative that it makes Pat Buchanan look  vegetarian, warned Washington of the need to draw a "distinction  between civilized society and the apocalyptic savagery of those  who would destroy it."	the need to draw a "distinction  between civilized society and the apocalyptic savagery of those  who would destroy it	warned Washington of the need to draw a "distinction  between civilized society and the apocalyptic savagery of those  who would destroy it
need-22	of-20	-pobj
Under the Geneva Convention,  those holding true POWs are bound to release them at the end of  hostilities; but that is the last thing the U.S. wants to do  with men who may be al-Qaeda operatives.	Under the Geneva Convention,  those holding true POWs are bound to release them at the end of  hostilities	the last thing the U.S. wants to do
bound-11	thing-26	-conj
True, prisoners are now confined to 6-ft. by 8-ft. chain-link  enclosures with concrete floors and tin roofs (Rumsfeld thinks  it's "pejorative" to call them cages).	call them cages	thinks  it's "pejorative" to
cages).-27	thinks-20	-nsubj
But relief will come; in  three months, the Pentagon hopes to replace the facility with  something more permanent.	replace the facility with  something more permanent	hopes to
replace-13	hopes-11	-xcomp
Bush Criticized for Treating Detainees InhumanelyAs more inmates  joined the hunger strike, some of them reportedly chanted  rhythmically on Thursday.	Bush	Criticized for Treating Detainees Inhumanely
Bush-1	Criticized-2	-nn
